id,text,speaker_std,file_id
33,"En el Senado hubo una acusación formulada por la Cámara de Diputados por delito de enriquecimiento ilícito, y el Senado, el cual yo estaba in tegrándolo, acordó que había lugar a formación de causa y pasó el asunto al Minis terio Público para que formulara denuncia ante la Corte Suprema de Justicia.",ALVA,1
34,¿Su estado ahora es el de un fugitivo?,LEWIS,1
35,"Sí. Elay una serie de hechos que atribuyen a Alan García Circulados a su gestión como Presidente del Perú, que ha motivado que se abra, que se amplíe, el proceso penal contra él; y ésa es la razón por la cual ha salido del país en un exilio un tanto irregular.",ALVA,1
36,"Si él regresara al Perú ahora, ¿habría una persecución en contra de él?",LEWIS,1
37,El proceso judicial está abierto y tiene orden de detención.,ALVA,1
38,"¿El señor García, si usted sabe, él era miembro del Partido Aprista?",LEWIS,1
39,Sí.,ALVA,1
40,"Como miembro de este partido, ¿tuvo algún alegato que usted sepa del tráfico de drogas, o beneficio del tráfico de drogas por ese partido o por el señor García?",LEWIS,1
41,"Yo no puedo dar fe respecto de los delitos que son materia del proceso penal que se sigue actualmente en la Corte Suprema, hay varios deli tos, pero se le atribuyen una serie de hechos que hacen suponer que puede eventualmente estar vinculado al narcotráfico.",ALVA,1
42,¿Usted estaba enterado que se había incendiado la casa del señor Markovich?,LEWIS,1
43,"Sí, algún diario de Lima informó sobre este hecho.",ALVA,1
44,¿Usted recuerda cuándo podría haber sido eso?,LEWIS,1
45,"No puedo precisar, pero hace poco más o menos dos años.",ALVA,1
46,"Si yo le dijera que fue en un momento en agosto del 1994, ¿eso le refrescaría su memoria?",LEWIS,1
47,"Sí podría haber sido, un poco más o menos dos años.",ALVA,1
48,¿Alguna vez el señor Markovich habló con usted los hechos que estaban alrededor del hecho de que habían incendiado su casa?,LEWIS,1
49,En uno de sus viajes me comentó que había quedado des truida su casa como consecuencia del incendio.,ALVA,1
50,¿Él le indicó quién creía que estaba detrás de eso?,LEWIS,1
51,"Me parece que él comentó que podría ser cualquier, alguna represalia respecto de sus actividades en el Perú.",ALVA,1
52,¿Usted sabía si el señor Markovich y Alan García eran amigos?,LEWIS,1
53,"No tengo conocimiento que hayan sido amigos, podrían ha ber sido conocidos, pero el grado de amistad es una cosa muy íntima.",ALVA,1
54,"En cuanto a su conocimiento sobre el señor García, ¿él tie ne o tenía la habilidad de controlar o dirigir a otras personas, incluso ahora para actuar a su nombre?",LEWIS,1
55,"Sí, sin ninguna duda.",ALVA,1
56,"¿Él tiene la habilidad de vengarse, usa a la gente que él cree pueden haber causado sus problemas políticos o haber dado información con res pecto a sus actividades?",LEWIS,1
57,Es posible que haya algunos hechos que inducen a creer que ha tenido un comportamiento de ese tipo.,ALVA,1
58,¿Usted puede contarnos algunos de esos incidentes?,LEWIS,1
59,"Hizo aprobar en el Congreso una ley para estatizar la ban ca y mandó a la policía para que, con engaños, penetraran en algunos locales de los bancos que estatizaba, maltratando físicamente a los directores o gerentes de esos bancos. Incluso en una ocasión un Ministro de Justicia de Alan García, según sos pechas que tenemos, dispuso que el señor Markovich fuera detenido en el hotel Sheraton, poco más o menos en 1989, como represalia de carácter político.",ALVA,1
60,¿Usted sabe personalmente que esto sucedió?,LEWIS,1
61,"Me consta. Por esa época yo era abogado justamente del señor Markovich y tuve que protes tar, y fui al local policial para hablar con el Jefe de la Policía que no, que no se presentó, de manera que me quedé varias horas acompañando al señor Markovich. Fue un claro abuso policial, pero cumpliendo órdenes del gobierno.",ALVA,1
62,Esos cargos se desecharon después que al señor Markovich lo dejaron en libertad.,LEWIS,1
63,Fue puesto en libertad.,ALVA,1
64,"En cuanto a su posición en el gobierno, ¿usted está familiarizado con una operación contra los traficantes de drogas, llamada Operación Cóndor?",LEWIS,1
65,Tengo conocimiento de la Operación Cóndor que se realizó con la intervención de la Fuerza Armada del Perú y con apoyo de organismos especializados de los Estados Unidos de América.,ALVA,1
66,¿Tiene conocimiento de quiénes eran las personas que esta ban involucradas o esto está fuera de su área política?,LEWIS,1
67,"Sí, está fuera de mi conocimiento político.",ALVA,1
68,¿Usted tenía conocimiento si el señor Markovich se encon traba involucrado en esa operación?,LEWIS,1
69,"No me consta, pero sospecho.",ALVA,1
70,¿Usted se ha encontrado con el señor Markovich en los Es tados Unidos en algún momento?,LEWIS,1
71,En dos o tres ocasiones.,ALVA,1
72,"Durante esas ocasiones, ¿alguna vez le ha mostrado una identificación o ha tratado de utilizar cualquier tipo de influencia a su nombre?",LEWIS,1
73,No. Nunca he visto ninguna identificación del señor Markovich como funcionario.,ALVA,1
74,¿Alguna vez visitó usted el hogar del señor Markovich?,LEWIS,1
75,"Sí, en dos ocasiones.",ALVA,1
76,¿Usted vio el interior de su hogar?,LEWIS,1
77,"Sí, y admiré el mobiliario chino muy valioso.",ALVA,1
78,¿También observó usted algunos artículos de jade o de mar fil cuando se encontraba allí?,LEWIS,1
79,"Sí, muchos.",ALVA,1
80,¿Usted recuerda cuándo fue la última vez que usted se en contraba en los Estados Unidos y vio al señor Markovich en esa casa?,LEWIS,1
81,"Será, pues, hace unos tres años o algo más, algo más de tres años.",ALVA,1
82,No tengo más preguntas.,LEWIS,1
83,[Se inicia una nueva secuencia de preguntas con otro entrevistador.],BACKGROUND,1
84,"Señor Alva Orlandini, tengo algunas preguntas para usted, si me permite.",BURNET,1
85,Con todo gusto.,ALVA,1
86,Se me indicó que usted ha trabajado como el abogado del señor Markovich.,BURNET,1
87,Sí. he trabajado poco más o menos unos dos o tres años.,ALVA,1
88,¿Era en relación a qué?,BURNET,1
89,"A un problema familiar, vinculado a los bienes de la sociedad conyugal que había formado y que está disuelta.",ALVA,1
90,¿Su esposa anterior?,BURNET,1
91,Con su esposa anterior.,ALVA,1
92,¿Y su nombre era Lilian Edelberg?,BURNET,1
93,Sí.,ALVA,1
94,¿Usted tiene una referencia específica con una fábrica llamada Chicle Glacial?,BURNET,1
95,"Sí, básicamente eso.",ALVA,1
96,Dígame cuál ha sido la relación en cuanto a la fábrica Chicle Glacial.,BURNET,1
97,¿La relación?,ALVA,1
98,¿Cómo estaba representando usted?,BURNET,1
99,"La fábrica de Chicle Glacial había sido constituida durante el matrimonio del señor Markovich y, de acuerdo con las leyes peruanas, al disol verse la sociedad conyugal debió distribuirse todo bien entre ambos cónyuges. Y como el señor Markovich se ausentó del Perú, la señora Lilian, esposa, ¿no?, tomo a su cargo la administración de la fábrica de chicle, la fábrica y la distribución, y ella naturalmente hizo suyas las utilidades del negocio.",ALVA,1
100,"¿Y qué estaba desafiando el señor Markovich? ¿Él dijo que eso no era correcto?, ¿qué estaba desafiando el señor Markovich? ¿Él decía que eso no era correcto?",BURNET,1
101,La controversia era respecto de la propiedad de la fábrica y de la distribución de las utilidades.,ALVA,1
102,¿Cuál fue el resultado final en cuanto a la distribución de las utilidades?,BURNET,1
103,El proceso yo no llegué a concluirlo por mis actividades políticas; intervino otro abogado.,ALVA,1
104,"Al momento, cuando usted estuvo envuelto en esto por última vez, ¿qué es lo que pasaba?",BURNET,1
105,"Que estaba en trámite el proceso, en etapa de pruebas.",ALVA,1
106,"¿En qué año fue eso, por favor?",BURNET,1
107,Poco más o menos en 1987-88.,ALVA,1
108,"Y en este caso, ;su ex esposa Lilian estaba recibiendo todas las ganancias de Chicle Glacial?",BURNET,1
109,Sí.,ALVA,1
110,¿Usted sabe si eso cambió alguna vez?,BURNET,1
111,Me parece que no ha cambiado.,ALVA,1
112,"En el divorcio, ¿su esposa tenía que recivir parte o toda, toda la fábrica?",BURNET,1
113,"Según mi recuerdo sobre la fábrica de Chicle Glacial, no hubo específicamente ningún convenio. De mandera que tenía que aplicarse la ley peruana y distribuirse por partes iguales los bienes.",ALVA,1
114,"Bajo, básicamente la ley peruana, ¿debería haberse distri buido entre los dos?",BURNET,1
115,Sí.,ALVA,1
116,Obviamente su esposa anterior estaba tomando todas las ganancias. ¿También ella reclamaba que era propietaria de toda la compañía?,BURNET,1
117,Sí.,ALVA,1
118,¿En qué se basaba para decir eso?,BURNET,1
119,En que ella había trabajado en la fábrica de Chicle Glacial mientras estuvo ausente del Perú el señor Markovich.,ALVA,1
120,¿Eso envuelve un período de tiempo en que el señor Mar kovich se encontraba en la cárcel?,BURNET,1
121,Me parece que sí.,ALVA,1
122,"¿Ella reclamó que mientras él se encontraba en la cárcel, él había firmado un papel otorgándole toda la compañía?",BURNET,1
123,"No recuerdo detalles, pero la ley tiene en este caso fuerza imperativa.",ALVA,1
124,¿Al final ella se quedó con toda la fábrica?,BURNET,1
125,"Es verdad, hasta donde yo conozco.",ALVA,1
126,¿Por qué razón se encontraba el señor Markovich en la cár cel en ese momento?,BURNET,1
127,Yo no fui su abogado anteriormente y no conozco detalles.,ALVA,1
128,¿Qué le dijo el señor Markovich al respecto?,BURNET,1
129,"El señor Markovich me dijo que él asumió una responsabi lidad más allá de lo que le correspondía, en atención a que quería que no fuera in cluido en el proceso un amigo que él aprecia mucho.",ALVA,1
130,"Lo siento, no entiendo, no le entiendo. ¿Por qué, de qué crimen lo acusaron?",BURNET,1
131,"Yo no conozco el proceso, porque, si no me equivoco, los hechos datan de hace poco más de unos 30 años, y yo asumí la defensa del señor Markovich en un caso concreto hace 12 años.",ALVA,1
132,"Pero cuando le explicó la razón por la cual había estado en la cárcel, ¿cuál fue la naturaleza general por la cual lo habían puesto en la cárcel?",BURNET,1
133,"Ni me dio explicaciones ni detalles, ni yo tampoco le hice preguntas sobre la materia.",ALVA,1
134,"Sin detalles, asumo que en algún momento se hizo una de claración general de que él se encontraba en la prisión por alguna razón ¿Hay algo que usted recuerde, por ejemplo, una razón general por la cual se encontraba en la cárcel?",BURNET,1
135,"Lo que yo recuerdo es que en los escritos que presentaba su esposa hacía referencia, en aspectos generales, a que había estado preso, pero no, no conozco las razones por las cuales estuvo preso.",ALVA,1
136,Si usted recuerda si fue porque no pagó los pases o por contrabando.,BURNET,1
137,"Yo no podría dar sobre esto una explicación técnica certificada porque no intervine en un proceso anterior, pero aparentemente fue, un po co me recuerdo del proceso, habría sido porque no hubo pago de algún impuesto.",ALVA,1
138,¿Al señor Markovich lo han arrestado por otros cargos?,BURNET,1
139,"Que yo sepa, no.",ALVA,1
140,"Bueno, no, en esa oportunidad en que lo habían arrestado aquí en el Sheraton.",BURNET,1
141,"Fue una detención breve y arbitraria, sin proceso judicial.",ALVA,1
142,¿Por qué cargos lo habían arrestado?,BURNET,1
143,"Yo no sé, no recuerdo exactamente por qué, porque lo lleva ron con gran despliegue policial, no sé si eran 15 ó 20 policías, lo sacaron de ese ho tel y lo llevaron a la delegación policial; y no sé si fue un día, al día siguiente —me parece— que salió, ¿no? Me parece que al día siguiente lo pusieron en libertad.",ALVA,1
144,"¿Usted tiene alguna idea por qué se le toma el cargo? ¿De be haber sido por robo de un banco, algún problema de impuestos, pero qué era?",BURNET,1
145,"No hubo ni problema de impuestos ni asalto a bancos, fue un acto arbitrario, derivado de ese juicio que tenía con su esposa... [corte en el video]... pero además también tenía el asesoramiento de un congresista del Partido de Alan Gar cía que tenía influencia y poco tiempo después llegó a ser Ministro de Justicia.",ALVA,1
146,¿O sea que usted no recuerda el cargo?,BURNET,1
147,No recuerdo el cargo.,ALVA,1
148,"En cuanto usted, lo que usted sabe, ¿a él alguna vez lo han arrestado en otras oportunidades?",BURNET,1
149,No tengo conocimiento.,ALVA,1
150,"Cuando me dijo anteriormente que usted conocía al señor Sigmund Markovich como funcionario del gobierno de los Estados Unidos, ¿cuál fue su entendimiento sobre su posición con el gobierno norteamericano?",BURNET,1
151,"Me parece que su intervención era la de prestar apoyo de ca rácter técnico, mas que todo para la lucha contra el narcotráfico.",ALVA,1
152,¿El señor Markovich se presentaba él mismo como si se hubiera conectado con el Gobierno norteamericano?,BURNET,1
153,"No me lo dijo explícitamente, pero tenía suficientes infor maciones diversas que me llevaban a tener la convicción de que él era y que sigue siendo funcionario del gobierno de los Estados Unidos.",ALVA,1
154,"¿Y eso se basa, usted se basa en la forma cómo se presentó él mismo y cómo actuó?",BURNET,1
155,No. A través de diversos otros elementos de información.,ALVA,1
156,"Puede decirme, ¿qué otros, qué y cuáles son esos otros ele mentos?",BURNET,1
157,"En conversaciones con diversos funcionarios, entre ellos el Dr. Percovich.",ALVA,1
158,"¿Ellos indicaron que ellos asumían de que él era un oficial, o un funcionario del gobierno norteamericano?",BURNET,1
159,Tengo entendido que sí.,ALVA,1
160,"En su conocimiento, ¿el señor Sigmund Markovich algu na vez ha sido un funcionario del gobierno del Perú?",BURNET,1
161,"Eh, no, no tengo conocimiento de que haya sido un fun cionario del Perú.",ALVA,1
162,"En términos de cualquier actividad, el hecho es que Sig mund Markovich en conexión con cualquier gobierno, ¿la única conexión que Ud. conoce o Ud. entiende que existe, es aquella con el gobierno norteamericano?",BURNET,1
163,"Sí, sí, sí incluso me parece que en alguna ocasión me co mentó el señor Markovich que había sido portador de alguna valija importante.",ALVA,1
164,¿En nombre del gobierno norteamericano?,BURNET,1
165,Así es.,ALVA,1
166,¿De dónde a dónde?,BURNET,1
167,"Eh, probablemente de Estados Unidos al Perú. Digo probablemente porque no tengo la seguridad.",ALVA,1
168,¿Y el destino de él es estar o estaba actuando con una ca pacidad oficial?,BURNET,1
169,"De sus expresiones yo deduje que sí, pero él nunca me lo dijo.",ALVA,1
170,"A Ud. le preguntaron sobre Alan García y el hecho que él se encuentre ahora fuera del país, ¿usted tiene algún conocimiento verdadero de que Sigmund Markovich estaba conectado, en alguna forma, con el hecho de que Alan García se fue del país?",BURNET,1
171,No tengo yo certeza sobre este hecho.,ALVA,1
172,¿Tiene algún conocimiento que él estaba envuelto en eso?,BURNET,1
173,Él era probable que estuviera de alguna manera vinculado.,ALVA,1
174,¿Por qué dice eso?,BURNET,1
175,Porque no tengo yo ninguna constancia del hecho.,ALVA,1
176,"Es una, ¿está adivinando nada más?",BURNET,1
177,"Es una, una conjetura sobre todo de las actividades que cumplía el señor Markovich en el Perú.",ALVA,1
178,Eso es asumiendo que el señor Markovich se encontraba acá luchando contra las drogas en nombre del gobierno norteamericano.,BURNET,1
179,"En la época de Alan García estuvo acá el señor Markovich varias veces. No sé, no me consta si se entrevistó o no con el señor Alan García.",ALVA,1
180,"Pero como usted me dijo que está asumiendo que puede ha ber estado conectado con García, se basa esta suposición que ha estado actuando en el Perú en nombre del Gobierno Norteamericano para luchar contra las drogas.",BURNET,1
181,Mi convicción es que el señor Markovich era funcionario del gobierno de los Estados Unidos y que tenía su actividad en relación con la lucha antidrogas.,ALVA,1
182,"Y aparte de lo que usted me ha dicho, de lo que acaba de decir usted, ¿sabe algo que pueda conectar en alguna forma a Sigmund Markovich con Alan García?",BURNET,1
183,"En una forma directa me parece que no hay ninguna vin culación, podría haber alguna forma indirecta de llevar esto al señor Markovich en una actividad en el Perú y en que pueda aparecer el ex Presidente.",ALVA,1
184,¿Usted está especulando al respecto?,BURNET,1
185,"Es especulación, simplemente.",ALVA,1
186,"Usted me indicó que cuando habló con el señor Sigmund Markovich después de su incendio, él le dijo que pensaba que era una revancha por sus actividades en el Perú y usted tiene algún conocimiento verdadero que usted mismo, que esto es verdadero, ¿es cierto?",BURNET,1
187,No me consta a mí que haya sido consecuencia directa y ne cesaria de las actividades que cumplía el señor Markovich en el Perú.,ALVA,1
188,"La pregunta para usted es la siguiente, ¿usted tenía cono cimiento que es cierto o simplemente usted nos está diciendo simplemente lo que el señor Markovich le dijo?",BURNET,1
189,No entiendo la pregunta.,ALVA,1
190,"Sí señor. Le estoy preguntando si usted sabe algo sobre al guna conexión entre el incendio y sus actividades en el Perú, aparte de lo que el se ñor Markovich le había dicho.",BURNET,1
191,No tengo yo conocimiento. No tengo conocimiento de que eso sea posible porque el incendio fue en Miami y yo vivo en Lima.,ALVA,1
192,"La única oportunidad que usted está haciendo alguna co nexión entre el incendio y sus actividades en el Perú, ¿es de parte del señor Marko vich en sí?",BURNET,1
193,El señor Markovich me comentó que tenía sospechas de que el incendio era consecuencia de sus actividades en el Perú.,ALVA,1
194,"Discúlpeme, señor, por decir esto, pero es que quiero que usted confirme la única vez que escuchó que le dijeran eso y la única persona que le dijo eso es Sigmund Markovich, ¿es esto correcto?",BURNET,1
195,Es correcto.,ALVA,1
196,"Es correcto. Gracias. Aparte del negocio conocido como Chicles Glacial , ¿tiene conocimiento sobre otros intereses o negocios del señor Markovich acá en el Perú?",BURNET,1
197,"De los años, entre los diez o doce o diez o quince años o de ahora último, no sé nada.",ALVA,1
198,"Cuando usted lo vio hace diez o quince años, ¿él tenía al gún tipo de interés aparte de ""Chicles Glacial""?",BURNET,1
199,"Solamente los ""Chicles Glacial"" y unos inmuebles en donde funcionaba la fábrica.",ALVA,1
200,"Usted sabe, escuchó hablar de algún tipo de interés de ne gocios que tenga su esposa Sara, ¿es su esposa actual aquí en el Perú?",BURNET,1
201,No tengo conocimiento.,ALVA,1
202,¿Usted conoce un libro llamado Mundo de Maquiavelo'i,BURNET,1
203,Claro,ALVA,1
204,¿Quién escribió el libro?,BURNET,1
205,"El Mundo de Maquiavelo me ha puesto Ud. en, un tanto, un tanto difícil. No recuerdo. No recuerdo.",ALVA,1
206,Lo que sucede es que fue escrito por Alan García.,BURNET,1
207,¡Ah sí!,ALVA,1
208,Muy bien.,BURNET,1
209,"Recientemente. Yo he leído comentarios sobre el libro pero no, no, no he leído el texto completo.",ALVA,1
210,¿Usted ha visto el libro?,BURNET,1
211,"No, no he visto el libro.",ALVA,1
212,¿Solamente escuchó hablar de él?,BURNET,1
213,He escuchado hablar y he leído comentarios periodísticos.,ALVA,1
214,¿Ese libro se publicó acá en el Perú?,BURNET,1
215,No. Me parece que fue publicado en Colombia.,ALVA,1
216,¿Lo vendieron después que lo publicaron acá en el Perú?,BURNET,1
217,En el Perú se ha vendido.,ALVA,1
218,"¿Usted sabe si alguna vez han prohibido, por alguna razón, que se venda este libro acá?",BURNET,1
219,"No, no hay prohibición.",ALVA,1
220,"¿Y se habla abiertamente en los periódicos, en la televisión?",BURNET,1
221,"Sí, sí se habla.",ALVA,1
222,"Desde el momento que el libro estuvo publicado, ¿sí?",BURNET,1
223,Sí.,ALVA,1
224,Nada más. No tengo más preguntas. Gracias.,BURNET,1
225,"Dr. Alva, ¿usted conoce a Fernando de la Vera?",LEWIS,1
226,"A Fernando, no.",ALVA,1
227,"Fernando de la Vera, Fernando de Olivera.",LEWIS,1
228,"¡Ah! ¡Olivera, Fernando Olivera!",ALVA,1
229,¿Ud. conoce a Fernando Olivera?,LEWIS,1
230,Sí.,ALVA,1
231,¿Y quién es él?,LEWIS,1
232,"Es un político, actualmente es miembro del Congreso, ha sido anteriormente, en dos ocasiones, también miembro del Congreso.",ALVA,1
233,¿Usted estaba enterado que el señor Markovich lo había asistido para encontrar cualquier tipo de dinero involucrando a Alan García?,LEWIS,1
234,¿Cuál es la pregunta?,ALVA,1
235,"¿Usted está familiarizado, a partir del libro que acabamos de hablar, Maquiavelo, si hay algún alegato que el señor Markovich ayudó al congre sista en tratar de encontrar los fondos ilícitos de Alan García?",LEWIS,1
236,"Estoy informado de que se hace referencias, de que se hace re ferencia a que el señor Markovich ayudó a Olivera en la investigación a Alan García.",ALVA,1
237,No tengo más preguntas.,LEWIS,1
238,[El señor Neil Lewis se presenta al señor García Belaúnde.],BACKGROUND,1
239,"Buenos días. Mi nombre es Neil Lewis, soy el abogado de Sigmund Markovich, con respecto al proceso en cuanto se encuentra usted con no sotros acá. Si en algún momento le hago una pregunta acá y usted no entiende, o si la conversación que usted no pueda entender, tómese la libertad de decírmelo y yo voy a tratar de hacer la pregunta en forma distinta. Si en algún momento tiene usted una pregunta en cuanto a lo que estamos haciendo, por favor pregunte. ¿Podría decirme su nombre, por favor, para el registro?",LEWIS,1
240,Víctor Andrés García Belaúnde.,ALVA,1
241,¿Dónde vive?,LEWIS,1
242,En Lima.,GARCIA,1
243,"¿La dirección, por favor?",LEWIS,1
244,"Calle Orion 355, Surco, Lima.",GARCIA,1
245,¿Me puede decir alguna de las posiciones que ha tenido en el gobierno peruano?,LEWIS,1
246,"Yo he sido Secretario del Consejo de Ministros, de 1980 a 1985 y he sido diputado por Lima de 1985 a 1990 en el primer perío do y reelegido para el período 90-95, que no terminé por el golpe de Estado del se ñor Fujimori, que cerró el Congreso el 5 de abril del año 92.",GARCIA,1
247,"Desde esa época, ¿qué ha estado usted haciendo?",LEWIS,1
248,"Bueno, asuntos privados personales, tengo una empresa aquí en Lima, textil, y otra de plásticos en la ciudad de Trujillo, al norte de Lima.",GARCIA,1
249,¿Usted está familiarizado con la fábrica conocida como Tanteza y Ramoza?,LEWIS,1
250,No.,GARCIA,1
251,"No, no, no. ¿Usted conoce al señor Markovich, que se encuentra sentado a mi derecha?",LEWIS,1
252,"Sí, sí, lo conozco.",GARCIA,1
253,¿Por cuánto tiempo lo ha conocido?,LEWIS,1
254,Desde el año 85.,GARCIA,1
255,¿Usted lo conoce de una forma social o profesional?,LEWIS,1
256,"No, yo lo conocí cuando llevamos a mi padre he rido de bala a raíz de un atentado terrorista en abril del año 85 y viajamos 30 días después del atentado, aproximadamente el 24 de mayo del 85 en un avión de la Fuerza Aérea Peruana. Por indicaciones del Presidente de la República, viajamos a Miami a internar a mi padre.",GARCIA,1
257,"Antes de que vayamos más lejos, ¿el nombre de su papá es...?",LEWIS,1
258,Domingo García Rada.,GARCIA,1
259,Yo sé que su papá ha fallecido.,LEWIS,1
260,"Sí, hace dos años.",GARCIA,1
261,"Antes de esa época, ¿qué posición tenía en el gobierno pe ruano, si usted sabe?",LEWIS,1
262,"Mi padre fue, durante casi toda su vida, profesor de las principales universidades de Lima; Católica y San Marcos, y fue también Juez, Magistrado, habiendo sido en dos oportunidades Presidente de la Corte Su prema en Perú. Y en el momento en que sufrió el atentado era Presidente del Jura do Nacional de Elecciones, lo que podría ser un acoso (?) electoral, y era el encar gado de convocar, manejar, dirigir y dar los resultados de las elecciones presiden ciales del Perú.",GARCIA,1
263,"Durante ese período de tiempo, ¿quiénes eran los candida tos para la presidencia?",LEWIS,1
264,¿Se refiere a 1985?,GARCIA,1
265,Sí.,LEWIS,1
266,"El candidato. Hubieron varios candidatos para esta elección; uno de ellos era Alan García, quien sacó la mayor votación; y debido al atentado de mi padre, se eliminó la segunda vuelta porque el candidato segun do, con segunda votación, Alfonso Barrantes, renunció ante el atentado y las con secuencias del mismo. De tal manera, que el Jurado Nacional de Elecciones eligió con una primera vuelta interpretando un vacío de la Ley y eligió a Alan García co mo Presidente del Perú.",GARCIA,1
267,"Cuando su papá fue lesionado, ¿eso fue el resultado de un ataque terrorista hacia él?",LEWIS,1
268,Sí. Se comprobó que fue un ataque de Sendero Luminoso a cien metros de su casa y a cien metros de la actual embajada de Japón. Así que es una zona muy concurrida.,GARCIA,1
269,"¿Usted indicó que usted con su papá voló, lo llevaron en el avión a Miami, 30 días después, en un avión de la Fuerza Aérea?",LEWIS,1
270,Usado como avión presidencial.,GARCIA,1
271,¿Había una representación en Miami que recibió el avión?,LEWIS,1
272,"Bueno, sí. El avión llegó al aeropuerto de Mia mi. Pero no a la zona comercial o civil, sino fue conducido a una zona especial que no puedo identificar en este momento y donde no había prácticamente edificios y hubieron dos o tres autoridades que nos recibieron; una de ellas el señor Markovich; él fue el que nos recibió y nos dio la bienvenida y él nos ayudó al traslado y a los trámites y a la seguridad que se le dio a mi padre en el tiempo que estuvimos en el Jackson Memorial Hospital de Miami, aproximadamente dos meses.",GARCIA,1
273,¿Ésa fue la primera vez que usted conoció al señor Markovich?,LEWIS,1
274,Ésa fue la primera vez.,GARCIA,1
275,"¿En ese momento de la espera, él le contó a usted que era un agente de la CIA?",LEWIS,1
276,No.,GARCIA,1
277,¿Qué era agente de la DEA?,LEWIS,1
278,No.,GARCIA,1
279,¿Solamente estaba ayudando?,LEWIS,1
280,Yo suponía que era una autoridad del gobierno norteamericano.,GARCIA,1
281,¿Alguna vez le dijo que estaba trabajando a nombre del go bierno americano?,LEWIS,1
